Regional Office,Industrial Area,Total Plots Available,Current Rate (Rs/sq meter)
RO THANE-I (IT),Dombivli,2,40090
RO THANE-I,Dombivli,2,40090
RO Satara,Wai,5,1170
RO NAGPUR,Butibori,3,2990
